#{"t_start": 1749043248.6897776, "env_id": "Pendulum-v1"}
r,l,t
-956.323869,200,71.377689
-881.584111,200,71.566506
-893.2219,200,73.578857
-1285.366532,200,73.924267
-1360.526943,200,74.189422
-882.256329,200,74.393334
-1288.577518,200,74.567854
-1422.59781,200,74.746198
-1208.439648,200,74.967016
-1022.08871,200,75.290266
-874.060383,200,75.687608
-1700.526716,200,76.382679
-1034.949601,200,79.048861
-1191.086303,200,79.243759
-1074.765582,200,79.420997
-1008.962404,200,79.605629
-894.048412,200,79.785324
-1040.841745,200,79.956809
-978.767248,200,80.141876
-1089.899929,200,80.320006
-1057.909285,200,80.498131
-1057.895069,200,80.680907
-994.378223,200,82.246116
-1009.307069,200,82.532316
-971.873511,200,82.909509
-833.952891,200,83.144809
-983.300282,200,83.487306
-966.222541,200,83.73313
-1419.809781,200,84.112952
-758.349988,200,84.397793
-1005.520173,200,84.908668
-1512.978853,200,85.116627
-1054.884219,200,87.027938
-1226.693877,200,87.340651
-1021.046295,200,87.545919
-955.661997,200,87.730645
-976.84392,200,87.908677
-1209.234725,200,88.094505
-1097.06494,200,88.284782
-770.156954,200,88.460655
-942.507677,200,88.790305
-980.267143,200,89.102174
-1080.092765,200,89.306538
-1000.2352,200,91.599245
-870.987462,200,91.892972
-1223.594238,200,92.189568
-775.508153,200,92.533627
-992.741387,200,92.901135
-978.400506,200,93.322696
-991.410752,200,93.99024
-1100.226462,200,94.529769
-1047.843723,200,94.890335
-900.143304,200,95.114815
-1578.930053,200,96.935473
-1125.400477,200,97.343724
-1139.455365,200,97.538507
-984.653883,200,97.756788
-1220.622765,200,97.936121
-894.171153,200,98.155914
-924.817927,200,98.348316
-1354.749106,200,98.610072
-1207.338465,200,99.00707
-1053.563961,200,99.425429
-768.492535,200,102.697863
-880.785642,200,103.148457
-845.355622,200,103.681879
-1006.499916,200,104.10118
-876.25154,200,104.52734
-988.480106,200,104.989759
-916.801384,200,107.811564
-924.522669,200,108.160448
-1238.793204,200,108.492558
-1067.411135,200,108.845338
-1458.154603,200,115.843863
-856.007321,200,116.22002
-837.029229,200,116.619133
-875.149506,200,116.845369
-867.37065,200,117.095547
-1024.281502,200,117.487908
-972.167413,200,118.052576
-1094.160449,200,118.436824
-1220.669697,200,118.64556
-632.751441,200,118.954718
-1070.107419,200,119.29942
-996.156864,200,123.59956
-995.907681,200,124.593467
-1131.866075,200,125.284586
-946.568229,200,125.885743
-889.891383,200,126.704035
-964.835153,200,127.149725
-1093.674185,200,127.686632
-886.596542,200,128.195287
-878.080666,200,128.707944
-871.586925,200,129.150359
-934.123473,200,132.518643
-1241.425802,200,132.740013
-884.023507,200,132.959866
-1009.49224,200,133.199235
-980.907175,200,133.455357
-886.512783,200,133.676808
-754.165894,200,133.891047
-1128.011449,200,134.116194
-874.391805,200,134.347763
-1035.449872,200,134.571632
-778.542361,200,136.536368
-784.066254,200,136.757696
-770.229001,200,136.975194
-816.16959,200,137.20812
-866.592728,200,137.418459
-869.732277,200,137.688264
-995.413435,200,137.921507
-981.325247,200,138.149037
-637.91884,200,138.372006
-873.15883,200,138.588841
-758.877193,200,140.565
-619.95025,200,140.781163
-1029.680695,200,140.989254
-856.020926,200,141.218199
-955.896922,200,141.431936
-1107.900176,200,141.646477
-738.72905,200,141.860862
-850.10062,200,142.083129
-632.032041,200,142.316978
-755.004821,200,142.539596
-980.293869,200,142.754374
-906.971326,200,144.676679
-749.913161,200,144.891286
-972.094817,200,145.121732
-903.065087,200,145.371925
-862.338195,200,145.595581
-988.785692,200,145.817117
-825.503841,200,146.057211
-1016.377057,200,146.299285
-1123.619621,200,146.529107
-871.712699,200,146.753829
-834.894146,200,148.665774
-1005.891806,200,148.875341
-864.518287,200,149.100511
-1001.409491,200,149.340163
-884.670911,200,149.55103
-880.334139,200,149.770169
-888.746611,200,149.988128
-1080.638918,200,150.218163
-976.583473,200,150.457198
-754.805205,200,150.685891
-866.270727,200,152.673783
